"Age","Year","Principal","Low","High","Principal.2012","Low.2012","High.2012"
15,2032,1.554880911,1.557864298,1.599998177,2.07516308397701,1.85863145002287,2.33296479092053
16,2032,4.285758539,4.288420227,4.668883142,5.64449647956003,5.05805394811834,6.34341760705068
17,2032,12.35280769,12.40074648,13.48969122,14.3401611122511,12.6171498819555,16.1717960470346
18,2032,20.10364561,20.19911516,24.27690437,23.3780390082969,20.2412569242442,26.421073158154
19,2032,32.6557254,31.69097706,38.40596166,33.6495677962875,28.7212743039669,38.0728956788699
20,2032,41.50561527,39.03578649,48.26714577,47.107979207814,40.5229686079335,54.7176859314062
21,2032,47.50866757,44.27147395,55.1600213,54.3914447721142,45.5189997012872,62.2038323736663
22,2032,54.64380188,50.4669791,63.02558092,64.3814992659416,53.7954174673585,73.7551188573295
23,2032,62.68921943,57.44605619,71.78890893,71.3541421384804,59.494465750765,81.8144294200087
24,2032,73.20414654,65.13319169,81.13585973,79.913134247099,66.8280186450365,91.3400368418012
25,2032,84.52572549,74.09730966,91.13211548,87.4586344139839,75.9029520884491,100.109659366527
26,2032,94.50377077,82.89391131,101.4188474,94.0944062397085,82.1785169913713,107.521188191862
27,2032,103.9628549,91.29165483,111.0097472,101.450147756252,89.0138785998764,115.605071297447
28,2032,110.2110195,96.99982933,117.1162988,108.568560425688,95.9959695198326,123.00140250884
29,2032,117.1847485,105.2893018,125.915406,113.116249832545,100.678177109781,127.30762736944
30,2032,117.9625865,107.6188473,133.3188496,119.519266144898,109.41389483018,130.8452472607
31,2032,121.4376448,112.4278015,137.5579119,123.343773736179,113.651523818488,133.848933194796
32,2032,118.9865891,109.6319848,132.817257,118.448931092944,109.659730559834,127.59072516341
33,2032,111.9642732,103.5836041,124.5805745,113.165108904712,105.300268333894,121.080434113779
34,2032,106.4264186,97.82838105,116.6228956,106.422444987257,99.4863533284854,113.15585820554
35,2032,96.3323828,88.31687407,108.1658251,97.0996059300381,89.0062779037302,102.421931136572
36,2032,86.47539514,76.95410537,93.67852798,82.3254213876596,75.8255733962135,87.7292932965703
37,2032,73.71433381,63.37574836,76.88458974,67.7307959082405,62.4712091680141,72.020344282964
38,2032,60.69293279,50.00649608,60.55613329,52.2188234416974,48.3022428216759,55.4243750302424
39,2032,49.99204935,39.25930151,47.62281896,40.392323917052,37.2809792612417,42.9280301987809
40,2032,33.51177461,27.85466349,35.73126321,29.8806177289432,27.3001443932279,32.8296740542178
41,2032,24.49211767,18.17313614,23.45759559,19.6136398905305,17.8675931197288,21.5437643650389
42,2032,15.16315765,11.26977967,14.69249406,12.4960284316148,11.3156192549628,13.7680123126126
43,2032,8.900211308,6.600150862,8.648517516,7.09742348293171,6.4277065929935,7.82250221480177
44,2032,5.193910262,3.835066481,5.065778475,4.07383062649494,3.68973941822082,4.49304871043366
45,2032,2.679814065,2.668421074,2.631318472,2.31046771085543,2.10489311431747,2.54435595793952
46,2032,3.621821568,3.606423716,3.556278818,2.93787089795207,2.67647290407857,3.23527106124065
47,2032,3.621821568,3.606423716,3.556278818,2.93787089795207,2.67647290407857,3.23527106124065
48,2032,3.621821568,3.606423716,3.556278818,2.93787089795207,2.67647290407857,3.23527106124065
49,2032,3.621821568,3.606423716,3.556278818,2.93787089795207,2.67647290407857,3.23527106124065
15,2033,1.554880911,1.557024253,1.603246734,2.07463932351928,1.85760660192405,2.33337649110233
16,2033,4.285758539,4.286744392,4.678916817,5.64301340127442,5.05514625222667,6.34458749958873
17,2033,12.35280769,12.39582961,13.51858561,14.3364094001499,12.6099318112005,16.1747648148543
18,2033,20.10364561,20.19012004,24.32818395,23.371996853331,20.2298245002659,26.4258591224724
19,2033,32.65462414,31.67652099,38.48647964,33.6409274070084,28.7051623292565,38.0797429657485
20,2033,41.50425371,39.0167103,48.36717466,47.0958902884931,40.50022924543,54.7275311872003
21,2033,47.50852155,44.2494926,55.27392046,54.3775793349997,45.4936746324096,62.2149218175566
22,2033,54.64271989,50.42580253,63.15712616,64.3650266180193,53.7653365065986,73.7683314503833
23,2033,62.68581795,57.38550903,71.94175716,71.3355476398002,59.4607471650148,81.8290811521282
24,2033,73.19803202,65.06643196,81.31640297,79.8908842106364,66.7882271574303,91.3563172398348
25,2033,84.5170248,74.02281798,91.34523161,87.429367199334,75.851383624758,100.126976902584
26,2033,94.49497063,82.81560269,101.6617179,94.0573987379656,82.1144945146947,107.538887365806
27,2033,103.9562493,91.21053138,111.2760407,101.403309025024,88.933914944117,115.622494509963
28,2033,110.2059162,96.91913311,117.3894417,108.520101522444,95.9105167772072,123.020196871628
